Frame 77, Green Left Cheek: 115.88479262672811, Green Right Cheek: 108.89720332577475
Frame 78, Green Left Cheek: 116.03917050691244, Green Right Cheek: 108.97656840513983
Frame 79, Green Left Cheek: 116.10752688172043, Green Right Cheek: 108.87326782564878
Frame 80, Green Left Cheek: 116.07603686635944, Green Right Cheek: 108.83749055177627
Frame 81, Green Left Cheek: 116.17460317460318, Green Right Cheek: 108.84177374653565
Frame 82, Green Left Cheek: 116.16461853558627, Green Right Cheek: 108.80423280423281
Frame 83, Green Left Cheek: 116.20967741935483, Green Right Cheek: 108.70672713529856
Frame 84, Green Left Cheek: 116.17511520737327, Green Right Cheek: 108.63466868228772
Frame 85, Green Left Cheek: 116.168458781362, Green Right Cheek: 108.61627614008566
Frame 86, Green Left Cheek: 116.20558115719406, Green Right Cheek: 108.64625850340136
Frame 87, Green Left Cheek: 116.20046082949308, Green Right Cheek: 108.6137566137566
Frame 88, Green Left Cheek: 116.27854582693293, Green Right Cheek: 108.578231292517
Frame 89, Green Left Cheek: 116.27700972862263, Green Right Cheek: 108.59737969261779
Frame 90, Green Left Cheek: 116.30465949820788, Green Right Cheek: 108.67069790879314
Frame 91, Green Left Cheek: 116.33077316948285, Green Right Cheek: 108.70975056689342
Frame 92, Green Left Cheek: 116.26036866359448, Green Right Cheek: 108.713529856387
Frame 93, Green Left Cheek: 116.26369687660011, Green Right Cheek: 108.71504157218443
Frame 94, Green Left Cheek: 116.2447516641065, Green Right Cheek: 108.60947341899723
Frame 95, Green Left Cheek: 116.273681515617, Green Right Cheek: 108.59057697152936
Frame 96, Green Left Cheek: 116.40757808499744, Green Right Cheek: 108.62761400856638
Frame 97, Green Left Cheek: 116.35816692268305, Green Right Cheek: 108.57067271352986
Frame 98, Green Left Cheek: 116.30798771121351, Green Right Cheek: 108.56437389770723
Frame 99, Green Left Cheek: 116.32770097286226, Green Right Cheek: 108.61224489795919
Frame 100, Green Left Cheek: 116.46774193548387, Green Right Cheek: 108.62685815066767
Frame 101, Green Left Cheek: 116.45724526369688, Green Right Cheek: 108.62610229276896
Frame 102, Green Left Cheek: 116.30773169482848, Green Right Cheek: 108.70042831947593
Frame 103, Green Left Cheek: 116.36277521761393, Green Right Cheek: 108.7382212144117
Frame 104, Green Left Cheek: 116.26011264720943, Green Right Cheek: 108.74930713025951
Frame 105, Green Left Cheek: 116.27956989247312, Green Right Cheek: 108.79012345679013
Frame 106, Green Left Cheek: 116.3120839733743, Green Right Cheek: 108.81783824640968
Frame 107, Green Left Cheek: 116.37992831541219, Green Right Cheek: 108.92920131015369
Frame 108, Green Left Cheek: 116.32923707117256, Green Right Cheek: 108.91232048374906
Frame 109, Green Left Cheek: 116.53225806451613, Green Right Cheek: 109.0095742000504
Frame 110, Green Left Cheek: 116.56963645673324, Green Right Cheek: 109.06601158982112
Frame 111, Green Left Cheek: 116.62749615975423, Green Right Cheek: 109.08843537414965
Frame 112, Green Left Cheek: 116.80337941628264, Green Right Cheek: 109.10506424792139
Frame 113, Green Left Cheek: 116.81643625192012, Green Right Cheek: 109.21365583270345
Frame 114, Green Left Cheek: 116.92345110087045, Green Right Cheek: 109.27387251196775
Frame 115, Green Left Cheek: 116.97695852534562, Green Right Cheek: 109.28495842781557
Frame 116, Green Left Cheek: 117.00486431131593, Green Right Cheek: 109.26051902242378
Frame 117, Green Left Cheek: 117.02713773681515, Green Right Cheek: 109.30964978584026
Frame 118, Green Left Cheek: 116.98284690220174, Green Right Cheek: 109.2509448223734
Frame 119, Green Left Cheek: 116.9521249359959, Green Right Cheek: 109.27588813303099
Frame 120, Green Left Cheek: 116.96031746031746, Green Right Cheek: 109.35323759133283
Frame 121, Green Left Cheek: 116.95596518177163, Green Right Cheek: 109.31746031746032
Frame 122, Green Left Cheek: 116.93625192012288, Green Right Cheek: 109.44973544973546
